,Anger,Anxiety,Fear,Surprise,Guilt,Disgust,Sad,Regard,Satisfaction,WarmHeartedness,Happiness,Pride,Love
Anger,1.4901161193847656e-08,0.7329809564391666,0.6845050747265606,2.207576309714038,0.6114356556457093,0.38505795343791505,0.9105462899603246,2.108353963628989,2.525466000653986,2.613605450667513,2.2804108691240916,2.281415756130536,2.5571994548092563
Anxiety,0.7329809564391666,0.0,0.49233007183932004,2.469513649389868,0.33263364526605926,0.46123370939163016,0.412678475030398,2.1384704918303656,2.461029954055988,2.831639155126686,2.9624181911744447,2.9036222479091793,2.8856500252669712
Fear,0.6845050747265606,0.49233007183932004,0.0,2.0051842412602316,0.732975288593241,0.6987562902847603,0.9028342598856554,2.616634585979056,2.9200949940312477,2.8839408757838303,2.4780602122748365,2.4117113223392295,2.5015346554680704
Surprise,2.207576309714038,2.469513649389868,2.0051842412602316,0.0,2.7263116472019155,2.570440216710775,2.8453327163083166,1.661069910705312,1.2739900222748943,0.8925005392895488,0.5545557897178462,0.4736138450607037,0.5032968569462827
Guilt,0.6114356556457093,0.33263364526605926,0.732975288593241,2.7263116472019155,2.1073424255447017e-08,0.23136833873787097,0.29921243947733006,1.8850447706401037,2.282763605885027,2.660292240539087,2.8112801979183826,2.8533989991937365,3.048265038748009
Disgust,0.38505795343791505,0.46123370939163016,0.6987562902847603,2.570440216710775,0.23136833873787097,0.0,0.5279314642224883,1.950507227992131,2.3810300178545414,2.6949929337712013,2.6118358014857814,2.635365697957985,2.909387007225553
Sad,0.9105462899603246,0.412678475030398,0.9028342598856554,2.8453327163083166,0.29921243947733006,0.5279314642224883,2.1073424255447017e-08,1.7262820023462258,2.06546868951503,2.4536848150829504,2.8756262714521945,2.9558195019490876,2.7962981873584445
Regard,2.108353963628989,2.1384704918303656,2.616634585979056,1.661069910705312,1.8850447706401037,1.950507227992131,1.7262820023462258,0.0,0.43654577535927047,0.7760957014142447,1.1597628260205068,1.2340925981185205,1.164103253269887
Satisfaction,2.525466000653986,2.461029954055988,2.9200949940312477,1.2739900222748943,2.282763605885027,2.3810300178545414,2.06546868951503,0.43654577535927047,0.0,0.3891217727447045,0.8584824805073725,0.9166300093955183,0.7714752299491489
WarmHeartedness,2.613605450667513,2.831639155126686,2.8839408757838303,0.8925005392895488,2.660292240539087,2.6949929337712013,2.4536848150829504,0.7760957014142447,0.3891217727447045,0.0,0.4880270986124249,0.5363112634259832,0.3899627758209657
Happiness,2.2804108691240916,2.9624181911744447,2.4780602122748365,0.5545557897178462,2.8112801979183826,2.6118358014857814,2.8756262714521945,1.1597628260205068,0.8584824805073725,0.4880270986124249,0.0,0.08108251900920596,0.29756033505758894
Pride,2.281415756130536,2.9036222479091793,2.4117113223392295,0.4736138450607037,2.8533989991937365,2.635365697957985,2.9558195019490876,1.2340925981185205,0.9166300093955183,0.5363112634259832,0.08108251900920596,2.1073424255447017e-08,0.2786191424550895
Love,2.5571994548092563,2.8856500252669712,2.5015346554680704,0.5032968569462827,3.048265038748009,2.909387007225553,2.7962981873584445,1.164103253269887,0.7714752299491489,0.3899627758209657,0.29756033505758894,0.2786191424550895,0.0
